latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
42.1619773,-75.830291,2023,4.647325103,71.04115226,243,40.36518519
42.1619773,-75.830291,2024,5.209836066,73.93032787,244,41.37770492
42.1619773,-75.830291,2025,3.39218107,74.53909465,243,38.10592593
42.1619773,-75.830291,2026,-0.581935484,75.29677419,155,30.95251613
42.1939865,-74.966728,2010,2.518518519,75.79835391,243,36.53333333
42.1939865,-74.966728,2011,1.124279835,76.72839506,243,34.0237037
42.1939865,-74.966728,2012,4.325,72.95491803,244,39.785
42.1939865,-74.966728,2013,1.950205761,74.89711934,243,35.51037037
42.1939865,-74.966728,2014,0.33744856,73.20164609,243,32.60740741
42.1939865,-74.966728,2015,0.516872428,73.20164609,243,32.93037037
42.1939865,-74.966728,2016,3.719262295,71.09836066,244,38.69467213
42.1939865,-74.966728,2017,2.727572016,75.7037037,243,36.90962963
42.1939865,-74.966728,2018,1.855555556,74.64197531,243,35.34
42.1939865,-74.966728,2019,1.532921811,76.30452675,243,34.75925926
42.1939865,-74.966728,2020,2.317622951,74.1557377,244,36.17172131
42.1939865,-74.966728,2021,2.599176955,74.20576132,243,36.67851852
42.1939865,-74.966728,2022,2.624279835,74.32510288,243,36.7237037
42.1939865,-74.966728,2023,3.485596708,72.55967078,243,38.27407407
42.1939865,-74.966728,2024,3.936065574,75.43442623,244,39.08491803
42.1939865,-74.966728,2025,2.026748971,76.76954733,243,35.64814815
42.1939865,-74.966728,2026,-1.96,78.12258065,155,28.472
42.2448527,-78.6810055,2010,2.320576132,76.04115226,243,36.17703704
42.2448527,-78.6810055,2011,0.86090535,78.80658436,243,33.54962963
42.2448527,-78.6810055,2012,4.320081967,75.33606557,244,39.77614754
42.2448527,-78.6810055,2013,1.80781893,76.74485597,243,35.25407407
42.2448527,-78.6810055,2014,0.151028807,74.16872428,243,32.27185185
42.2448527,-78.6810055,2015,0.390123457,75.97530864,243,32.70222222
42.2448527,-78.6810055,2016,3.520491803,74.31147541,244,38.33688525
42.2448527,-78.6810055,2017,3.560493827,76.97119342,243,38.40888889
42.2448527,-78.6810055,2018,2.083127572,76.27572016,243,35.74962963
42.2448527,-78.6810055,2019,1.840329218,78.58436214,243,35.31259259
42.2448527,-78.6810055,2020,2.72704918,76.89344262,244,36.90868852
42.2448527,-78.6810055,2021,2.957201646,75.50205761,243,37.32296296
42.2448527,-78.6810055,2022,3.066255144,76.16872428,243,37.51925926
42.2448527,-78.6810055,2023,3.555555556,73.82304527,243,38.4
42.2448527,-78.6810055,2024,4.489754098,77.09016393,244,40.08155738
42.2448527,-78.6810055,2025,2.623868313,78.16460905,243,36.72296296
42.2448527,-78.6810055,2026,-1.329032258,79.88387097,155,29.60774194
42.2477286,-73.6268046,2010,4.830864198,71.50205761,243,40.69555556
42.2477286,-73.6268046,2011,3.371604938,72.81893004,243,38.06888889
42.2477286,-73.6268046,2012,6.470901639,70.01639344,244,43.64762295
42.2477286,-73.6268046,2013,4.105349794,71.79835391,243,39.38962963
42.2477286,-73.6268046,2014,2.616460905,69.37037037,243,36.70962963
42.2477286,-73.6268046,2015,2.794650206,69.28806584,243,37.03037037
42.2477286,-73.6268046,2016,5.85,68.32377049,244,42.53
42.2477286,-73.6268046,2017,4.921399177,71.03292181,243,40.85851852
42.2477286,-73.6268046,2018,4.142386831,70.47325103,243,39.4562963
42.2477286,-73.6268046,2019,3.706584362,71.04115226,243,38.67185185
42.2477286,-73.6268046,2020,4.609836066,69.17622951,244,40.29770492
42.2477286,-73.6268046,2021,4.872016461,69.48559671,243,40.76962963
42.2477286,-73.6268046,2022,5.035390947,68.83539095,243,41.0637037
42.2477286,-73.6268046,2023,5.830041152,68.70781893,243,42.49407407
42.2477286,-73.6268046,2024,5.913114754,71.39344262,244,42.64360656
42.2477286,-73.6268046,2025,4.4781893,69.95473251,243,40.06074074
42.2477286,-73.6268046,2026,0.049032258,72.42580645,155,32.08825806
42.2478938,-78.0261758,2010,3.110288066,74.86831276,243,37.59851852
42.2478938,-78.0261758,2011,1.612757202,77.55144033,243,34.90296296
42.2478938,-78.0261758,2012,5.043032787,74.05327869,244,41.07745902
42.2478938,-78.0261758,2013,2.585185185,75.22633745,243,36.65333333
42.2478938,-78.0261758,2014,0.971604938,72.7037037,243,33.74888889
42.2478938,-78.0261758,2015,1.180246914,74.42798354,243,34.12444444
42.2478938,-78.0261758,2016,4.232786885,72.79508197,244,39.61901639
42.2478938,-78.0261758,2017,3.916872428,75.18518519,243,39.05037037
42.2478938,-78.0261758,2018,2.318106996,74.03703704,243,36.17259259
42.2478938,-78.0261758,2019,2.148148148,76.00823045,243,35.86666667
42.2478938,-78.0261758,2020,2.925409836,74.96721311,244,37.2657377
42.2478938,-78.0261758,2021,3.157201646,73.99588477,243,37.68296296
42.2478938,-78.0261758,2022,3.308230453,73.66255144,243,37.95481481
42.2478938,-78.0261758,2023,3.883127572,71.57613169,243,38.98962963
